date,stakeholder,name,certificate_path,uuid,serial,membership,sector_key,ins_uuid
2026-01-01,unknown-sector,Unknown,public/certificates/output/MISSING-UUID-MISSING-1.png,7dc43301-4fe2-4762-866e-815da4ca2752,ATS-MISSING-1,1,unknown-sector,INS-UUID-MISSING-1
2026-05-12,unknown-sector,Unknown,public/certificates/output/certificate_BANKING.png,544579c5-16dc-451d-b543-211ca3b4c966,ATS-MISSING-2,2,unknown-sector,INS-UUID-MISSING-2
2026-05-12,unknown-sector,Unknown,public/certificates/output/certificate_CEMENT.png,4a96d35e-8820-4738-891f-d7506f084769,ATS-MISSING-3,3,unknown-sector,INS-UUID-MISSING-3
2026-05-12,unknown-sector,Unknown,public/certificates/output/certificate_COMMUNITY.png,d50d8973-44ea-4cf8-9ef1-2fdc7d54bb94,ATS-MISSING-4,4,unknown-sector,INS-UUID-MISSING-4
2026-05-12,unknown-sector,Unknown,public/certificates/output/certificate_COUNCILS.png,4a303a69-c0fc-42be-a81a-e43c13a3e462,ATS-MISSING-5,5,unknown-sector,INS-UUID-MISSING-5
2026-05-12,unknown-sector,Unknown,public/certificates/output/certificate_GOVERNMENT.png,3d92acef-babe-4673-a3cb-0df3aa879767,ATS-MISSING-6,6,unknown-sector,INS-UUID-MISSING-6
2026-05-12,unknown-sector,Unknown,public/certificates/output/certificate_HOUSING.png,52368415-d919-44cb-9f58-3d523e1b35ee,ATS-MISSING-7,7,unknown-sector,INS-UUID-MISSING-7
2026-05-12,unknown-sector,Unknown,public/certificates/output/certificate_INSURANCE.png,c254f920-5d64-4c93-9c3b-a6462e5dbc21,ATS-MISSING-8,8,unknown-sector,INS-UUID-MISSING-8
2026-05-12,unknown-sector,Unknown,public/certificates/output/certificate_LANDOWNERS.png,b140b194-b08b-44bb-9287-fe6e7b82b1af,ATS-MISSING-9,9,unknown-sector,INS-UUID-MISSING-9
2026-05-12,unknown-sector,Unknown,public/certificates/output/certificate_MINERS.png,d3e0570b-6f2e-4c4b-9555-0c93d6765ba8,ATS-MISSING-10,10,unknown-sector,INS-UUID-MISSING-10
